# T [K]		\Lambda[erg/s-cm^3]		n_e [per cm^3 per n_H]
1.1376e+06  1.0835e-22  1.1768e+00
1.1402e+06  1.0830e-22  1.1768e+00
1.1428e+06  1.0825e-22  1.1768e+00
1.1454e+06  1.0821e-22  1.1769e+00
1.1481e+06  1.0816e-22  1.1769e+00
1.1507e+06  1.0811e-22  1.1769e+00
1.1534e+06  1.0807e-22  1.1769e+00
1.1560e+06  1.0802e-22  1.1769e+00
1.1587e+06  1.0798e-22  1.1769e+00
1.1613e+06  1.0793e-22  1.1769e+00
1.1640e+06  1.0789e-22  1.1769e+00
1.1667e+06  1.0784e-22  1.1769e+00
1.1694e+06  1.0780e-22  1.1769e+00
1.1721e+06  1.0775e-22  1.1769e+00
1.1747e+06  1.0770e-22  1.1769e+00
1.1774e+06  1.0766e-22  1.1769e+00
1.1802e+06  1.0761e-22  1.1769e+00
1.1829e+06  1.0757e-22  1.1769e+00
1.1856e+06  1.0752e-22  1.1769e+00
1.1883e+06  1.0748e-22  1.1769e+00
1.1910e+06  1.0743e-22  1.1769e+00
1.1938e+06  1.0739e-22  1.1769e+00
1.1965e+06  1.0734e-22  1.1769e+00
1.1993e+06  1.0729e-22  1.1769e+00
1.2020e+06  1.0725e-22  1.1769e+00
1.2048e+06  1.0720e-22  1.1769e+00
1.2076e+06  1.0716e-22  1.1769e+00
1.2103e+06  1.0711e-22  1.1769e+00
1.2131e+06  1.0707e-22  1.1769e+00
1.2159e+06  1.0702e-22  1.1769e+00
1.2187e+06  1.0698e-22  1.1769e+00
1.2215e+06  1.0693e-22  1.1769e+00
1.2243e+06  1.0688e-22  1.1769e+00
1.2271e+06  1.0683e-22  1.1769e+00
1.2299e+06  1.0678e-22  1.1769e+00
1.2327e+06  1.0674e-22  1.1769e+00
1.2356e+06  1.0669e-22  1.1769e+00
1.2384e+06  1.0665e-22  1.1770e+00
1.2413e+06  1.0660e-22  1.1770e+00
1.2441e+06  1.0655e-22  1.1770e+00
1.2470e+06  1.0650e-22  1.1770e+00
1.2498e+06  1.0645e-22  1.1770e+00
1.2527e+06  1.0640e-22  1.1770e+00
1.2556e+06  1.0635e-22  1.1770e+00
1.2585e+06  1.0630e-22  1.1770e+00
1.2613e+06  1.0624e-22  1.1770e+00
1.2642e+06  1.0619e-22  1.1770e+00
1.2671e+06  1.0613e-22  1.1770e+00
1.2701e+06  1.0607e-22  1.1770e+00
1.2730e+06  1.0601e-22  1.1770e+00
1.2759e+06  1.0595e-22  1.1770e+00
1.2788e+06  1.0589e-22  1.1770e+00
1.2818e+06  1.0583e-22  1.1770e+00
1.2847e+06  1.0576e-22  1.1770e+00
1.2876e+06  1.0570e-22  1.1770e+00
1.2906e+06  1.0564e-22  1.1770e+00
1.2936e+06  1.0558e-22  1.1770e+00
1.2965e+06  1.0551e-22  1.1770e+00
1.2995e+06  1.0545e-22  1.1770e+00
1.3025e+06  1.0538e-22  1.1770e+00
1.3055e+06  1.0532e-22  1.1770e+00
1.3085e+06  1.0525e-22  1.1770e+00
1.3115e+06  1.0518e-22  1.1770e+00
1.3145e+06  1.0512e-22  1.1770e+00
1.3175e+06  1.0505e-22  1.1770e+00
1.3205e+06  1.0498e-22  1.1770e+00
1.3235e+06  1.0491e-22  1.1770e+00
1.3266e+06  1.0484e-22  1.1770e+00
1.3296e+06  1.0477e-22  1.1770e+00
1.3327e+06  1.0470e-22  1.1770e+00
1.3357e+06  1.0462e-22  1.1770e+00
1.3388e+06  1.0455e-22  1.1771e+00
1.3419e+06  1.0447e-22  1.1771e+00
1.3449e+06  1.0440e-22  1.1771e+00
1.3480e+06  1.0432e-22  1.1771e+00
1.3511e+06  1.0424e-22  1.1771e+00
1.3542e+06  1.0417e-22  1.1771e+00
1.3573e+06  1.0409e-22  1.1771e+00
1.3604e+06  1.0401e-22  1.1771e+00
1.3635e+06  1.0393e-22  1.1771e+00
1.3667e+06  1.0385e-22  1.1771e+00
1.3698e+06  1.0377e-22  1.1771e+00
1.3729e+06  1.0368e-22  1.1771e+00
1.3761e+06  1.0360e-22  1.1771e+00
1.3792e+06  1.0351e-22  1.1771e+00
1.3824e+06  1.0342e-22  1.1771e+00
1.3856e+06  1.0334e-22  1.1771e+00
1.3887e+06  1.0325e-22  1.1771e+00
1.3919e+06  1.0316e-22  1.1771e+00
1.3951e+06  1.0307e-22  1.1771e+00
1.3983e+06  1.0298e-22  1.1771e+00
1.4015e+06  1.0288e-22  1.1771e+00
1.4047e+06  1.0279e-22  1.1771e+00
1.4079e+06  1.0269e-22  1.1771e+00
1.4112e+06  1.0259e-22  1.1771e+00
1.4144e+06  1.0249e-22  1.1771e+00
1.4176e+06  1.0239e-22  1.1771e+00
1.4209e+06  1.0228e-22  1.1771e+00
1.4241e+06  1.0217e-22  1.1771e+00
1.4274e+06  1.0206e-22  1.1771e+00
1.4307e+06  1.0195e-22  1.1771e+00
1.4340e+06  1.0184e-22  1.1771e+00
1.4372e+06  1.0172e-22  1.1771e+00
1.4405e+06  1.0161e-22  1.1771e+00
1.4438e+06  1.0149e-22  1.1771e+00
1.4471e+06  1.0137e-22  1.1771e+00
1.4504e+06  1.0126e-22  1.1772e+00
1.4538e+06  1.0114e-22  1.1772e+00
1.4571e+06  1.0102e-22  1.1772e+00
1.4604e+06  1.0089e-22  1.1772e+00
1.4638e+06  1.0077e-22  1.1772e+00
1.4671e+06  1.0064e-22  1.1772e+00
1.4705e+06  1.0052e-22  1.1772e+00
1.4739e+06  1.0039e-22  1.1772e+00
1.4772e+06  1.0026e-22  1.1772e+00
1.4806e+06  1.0012e-22  1.1772e+00
1.4840e+06  9.9993e-23  1.1772e+00
1.4874e+06  9.9860e-23  1.1772e+00
1.4908e+06  9.9726e-23  1.1772e+00
1.4942e+06  9.9589e-23  1.1772e+00
1.4976e+06  9.9451e-23  1.1772e+00
1.5011e+06  9.9311e-23  1.1772e+00
1.5045e+06  9.9169e-23  1.1772e+00
1.5079e+06  9.9025e-23  1.1772e+00
1.5114e+06  9.8879e-23  1.1772e+00
1.5148e+06  9.8732e-23  1.1772e+00
1.5183e+06  9.8587e-23  1.1772e+00
1.5218e+06  9.8439e-23  1.1772e+00
1.5253e+06  9.8290e-23  1.1772e+00
1.5288e+06  9.8138e-23  1.1772e+00
1.5323e+06  9.7985e-23  1.1772e+00
1.5358e+06  9.7830e-23  1.1772e+00
1.5393e+06  9.7672e-23  1.1772e+00
1.5428e+06  9.7513e-23  1.1772e+00
1.5463e+06  9.7352e-23  1.1772e+00
1.5499e+06  9.7190e-23  1.1772e+00
1.5534e+06  9.7029e-23  1.1772e+00
1.5570e+06  9.6867e-23  1.1772e+00
1.5605e+06  9.6702e-23  1.1772e+00
1.5641e+06  9.6535e-23  1.1772e+00
1.5677e+06  9.6366e-23  1.1773e+00
1.5713e+06  9.6196e-23  1.1773e+00
1.5749e+06  9.6023e-23  1.1773e+00
1.5785e+06  9.5849e-23  1.1773e+00
1.5821e+06  9.5672e-23  1.1773e+00
1.5857e+06  9.5493e-23  1.1773e+00
1.5893e+06  9.5310e-23  1.1773e+00
1.5929e+06  9.5125e-23  1.1773e+00
1.5966e+06  9.4938e-23  1.1773e+00
1.6002e+06  9.4749e-23  1.1773e+00
1.6039e+06  9.4558e-23  1.1773e+00
1.6076e+06  9.4365e-23  1.1773e+00
1.6112e+06  9.4171e-23  1.1773e+00
1.6149e+06  9.3974e-23  1.1773e+00
1.6186e+06  9.3776e-23  1.1773e+00
1.6223e+06  9.3576e-23  1.1773e+00
1.6260e+06  9.3378e-23  1.1773e+00
1.6297e+06  9.3179e-23  1.1773e+00
1.6335e+06  9.2977e-23  1.1773e+00
1.6372e+06  9.2774e-23  1.1773e+00
1.6409e+06  9.2569e-23  1.1773e+00
1.6447e+06  9.2362e-23  1.1773e+00
1.6484e+06  9.2153e-23  1.1773e+00
1.6522e+06  9.1942e-23  1.1773e+00
1.6560e+06  9.1730e-23  1.1773e+00
1.6598e+06  9.1516e-23  1.1773e+00
1.6636e+06  9.1305e-23  1.1773e+00
1.6674e+06  9.1092e-23  1.1773e+00
1.6712e+06  9.0877e-23  1.1773e+00
1.6750e+06  9.0660e-23  1.1773e+00
1.6788e+06  9.0442e-23  1.1773e+00
1.6827e+06  9.0222e-23  1.1773e+00
1.6865e+06  9.0001e-23  1.1774e+00
1.6904e+06  8.9777e-23  1.1774e+00
1.6942e+06  8.9552e-23  1.1774e+00
1.6981e+06  8.9325e-23  1.1774e+00
1.7020e+06  8.9102e-23  1.1774e+00
1.7058e+06  8.8877e-23  1.1774e+00
1.7097e+06  8.8651e-23  1.1774e+00
1.7137e+06  8.8423e-23  1.1774e+00
1.7176e+06  8.8193e-23  1.1774e+00
1.7215e+06  8.7962e-23  1.1774e+00
1.7254e+06  8.7729e-23  1.1774e+00
1.7294e+06  8.7495e-23  1.1774e+00
1.7333e+06  8.7260e-23  1.1774e+00
1.7373e+06  8.7023e-23  1.1774e+00
1.7412e+06  8.6789e-23  1.1774e+00
1.7452e+06  8.6554e-23  1.1774e+00
1.7492e+06  8.6318e-23  1.1774e+00
1.7532e+06  8.6081e-23  1.1774e+00
1.7572e+06  8.5842e-23  1.1774e+00
1.7612e+06  8.5602e-23  1.1774e+00
1.7652e+06  8.5361e-23  1.1774e+00
1.7693e+06  8.5118e-23  1.1774e+00
1.7733e+06  8.4874e-23  1.1774e+00
1.7773e+06  8.4630e-23  1.1774e+00
1.7814e+06  8.4383e-23  1.1774e+00
1.7855e+06  8.4135e-23  1.1774e+00
1.7895e+06  8.3886e-23  1.1774e+00
1.7936e+06  8.3636e-23  1.1774e+00
1.7977e+06  8.3385e-23  1.1774e+00
1.8018e+06  8.3132e-23  1.1774e+00
1.8059e+06  8.2879e-23  1.1774e+00
1.8101e+06  8.2625e-23  1.1775e+00
1.8142e+06  8.2370e-23  1.1775e+00
1.8183e+06  8.2114e-23  1.1775e+00
1.8225e+06  8.1861e-23  1.1775e+00
1.8266e+06  8.1609e-23  1.1775e+00
1.8308e+06  8.1356e-23  1.1775e+00
1.8350e+06  8.1102e-23  1.1775e+00
1.8392e+06  8.0847e-23  1.1775e+00
1.8434e+06  8.0592e-23  1.1775e+00
1.8476e+06  8.0336e-23  1.1775e+00
1.8518e+06  8.0079e-23  1.1775e+00
1.8560e+06  7.9821e-23  1.1775e+00
1.8603e+06  7.9563e-23  1.1775e+00
1.8645e+06  7.9308e-23  1.1775e+00
1.8688e+06  7.9054e-23  1.1775e+00
1.8730e+06  7.8800e-23  1.1775e+00
1.8773e+06  7.8545e-23  1.1775e+00
1.8816e+06  7.8289e-23  1.1775e+00
1.8859e+06  7.8033e-23  1.1775e+00
1.8902e+06  7.7777e-23  1.1775e+00
1.8945e+06  7.7521e-23  1.1775e+00
1.8988e+06  7.7264e-23  1.1775e+00
1.9031e+06  7.7006e-23  1.1775e+00
1.9075e+06  7.6751e-23  1.1775e+00
1.9118e+06  7.6498e-23  1.1775e+00
1.9162e+06  7.6245e-23  1.1775e+00
1.9206e+06  7.5992e-23  1.1775e+00
1.9249e+06  7.5739e-23  1.1775e+00
1.9293e+06  7.5485e-23  1.1775e+00
1.9337e+06  7.5231e-23  1.1776e+00
1.9381e+06  7.4977e-23  1.1776e+00
1.9426e+06  7.4723e-23  1.1776e+00
1.9470e+06  7.4469e-23  1.1776e+00
1.9514e+06  7.4217e-23  1.1776e+00
1.9559e+06  7.3968e-23  1.1776e+00
1.9603e+06  7.3719e-23  1.1776e+00
1.9648e+06  7.3470e-23  1.1776e+00
1.9693e+06  7.3221e-23  1.1776e+00
1.9738e+06  7.2972e-23  1.1776e+00
1.9783e+06  7.2723e-23  1.1776e+00
1.9828e+06  7.2474e-23  1.1776e+00
1.9873e+06  7.2226e-23  1.1776e+00
1.9918e+06  7.1977e-23  1.1776e+00
1.9964e+06  7.1729e-23  1.1776e+00
2.0009e+06  7.1481e-23  1.1776e+00
2.0055e+06  7.1233e-23  1.1776e+00
2.0101e+06  7.0985e-23  1.1776e+00
2.0146e+06  7.0738e-23  1.1776e+00
2.0192e+06  7.0490e-23  1.1776e+00
2.0238e+06  7.0244e-23  1.1776e+00
2.0284e+06  6.9997e-23  1.1776e+00
2.0331e+06  6.9750e-23  1.1776e+00
2.0377e+06  6.9504e-23  1.1776e+00
2.0423e+06  6.9259e-23  1.1776e+00
2.0470e+06  6.9019e-23  1.1776e+00
2.0517e+06  6.8779e-23  1.1776e+00
2.0563e+06  6.8540e-23  1.1776e+00
2.0610e+06  6.8300e-23  1.1776e+00
2.0657e+06  6.8062e-23  1.1777e+00
2.0704e+06  6.7823e-23  1.1777e+00
2.0751e+06  6.7585e-23  1.1777e+00
2.0799e+06  6.7348e-23  1.1777e+00
2.0846e+06  6.7111e-23  1.1777e+00
2.0894e+06  6.6874e-23  1.1777e+00
2.0941e+06  6.6643e-23  1.1777e+00
2.0989e+06  6.6412e-23  1.1777e+00
2.1037e+06  6.6182e-23  1.1777e+00
2.1085e+06  6.5952e-23  1.1777e+00
2.1133e+06  6.5723e-23  1.1777e+00
2.1181e+06  6.5495e-23  1.1777e+00
2.1229e+06  6.5266e-23  1.1777e+00
2.1277e+06  6.5039e-23  1.1777e+00
2.1326e+06  6.4812e-23  1.1777e+00
2.1374e+06  6.4585e-23  1.1777e+00
2.1423e+06  6.4364e-23  1.1777e+00
2.1472e+06  6.4143e-23  1.1777e+00
2.1521e+06  6.3924e-23  1.1777e+00
2.1570e+06  6.3704e-23  1.1777e+00
2.1619e+06  6.3486e-23  1.1777e+00
2.1668e+06  6.3267e-23  1.1777e+00
2.1718e+06  6.3050e-23  1.1777e+00
2.1767e+06  6.2833e-23  1.1777e+00
2.1817e+06  6.2617e-23  1.1777e+00
2.1866e+06  6.2401e-23  1.1777e+00
2.1916e+06  6.2190e-23  1.1777e+00
2.1966e+06  6.1980e-23  1.1777e+00
2.2016e+06  6.1771e-23  1.1778e+00
2.2066e+06  6.1563e-23  1.1778e+00
2.2116e+06  6.1355e-23  1.1778e+00
2.2167e+06  6.1148e-23  1.1778e+00
2.2217e+06  6.0941e-23  1.1778e+00
2.2268e+06  6.0735e-23  1.1778e+00
2.2318e+06  6.0530e-23  1.1778e+00
2.2369e+06  6.0326e-23  1.1778e+00
2.2420e+06  6.0122e-23  1.1778e+00
2.2471e+06  5.9918e-23  1.1778e+00
2.2522e+06  5.9716e-23  1.1778e+00
2.2574e+06  5.9514e-23  1.1778e+00
2.2625e+06  5.9312e-23  1.1778e+00
2.2677e+06  5.9111e-23  1.1778e+00
2.2728e+06  5.8911e-23  1.1778e+00
2.2780e+06  5.8712e-23  1.1778e+00
2.2832e+06  5.8513e-23  1.1778e+00
2.2884e+06  5.8315e-23  1.1778e+00
2.2936e+06  5.8120e-23  1.1778e+00
2.2988e+06  5.7927e-23  1.1778e+00
2.3040e+06  5.7735e-23  1.1778e+00
2.3093e+06  5.7544e-23  1.1778e+00
2.3145e+06  5.7353e-23  1.1778e+00
2.3198e+06  5.7163e-23  1.1778e+00
2.3251e+06  5.6974e-23  1.1778e+00
2.3304e+06  5.6785e-23  1.1778e+00
2.3357e+06  5.6597e-23  1.1778e+00
2.3410e+06  5.6410e-23  1.1779e+00
2.3463e+06  5.6224e-23  1.1779e+00
2.3517e+06  5.6042e-23  1.1779e+00
2.3570e+06  5.5861e-23  1.1779e+00
2.3624e+06  5.5680e-23  1.1779e+00
2.3677e+06  5.5500e-23  1.1779e+00
2.3731e+06  5.5320e-23  1.1779e+00
2.3785e+06  5.5141e-23  1.1779e+00
2.3839e+06  5.4962e-23  1.1779e+00
2.3894e+06  5.4784e-23  1.1779e+00
2.3948e+06  5.4607e-23  1.1779e+00
2.4003e+06  5.4431e-23  1.1779e+00
2.4057e+06  5.4259e-23  1.1779e+00
2.4112e+06  5.4088e-23  1.1779e+00
2.4167e+06  5.3916e-23  1.1779e+00
2.4222e+06  5.3746e-23  1.1779e+00
2.4277e+06  5.3576e-23  1.1779e+00
2.4332e+06  5.3406e-23  1.1779e+00
2.4387e+06  5.3238e-23  1.1779e+00
2.4443e+06  5.3069e-23  1.1779e+00
2.4498e+06  5.2901e-23  1.1779e+00
2.4554e+06  5.2735e-23  1.1779e+00
2.4610e+06  5.2572e-23  1.1779e+00
2.4666e+06  5.2409e-23  1.1779e+00
2.4722e+06  5.2247e-23  1.1779e+00
2.4778e+06  5.2086e-23  1.1779e+00
2.4835e+06  5.1925e-23  1.1779e+00
2.4891e+06  5.1764e-23  1.1779e+00
2.4948e+06  5.1604e-23  1.1780e+00
2.5004e+06  5.1445e-23  1.1780e+00
2.5061e+06  5.1286e-23  1.1780e+00
2.5118e+06  5.1127e-23  1.1780e+00
2.5175e+06  5.0968e-23  1.1780e+00
2.5233e+06  5.0810e-23  1.1780e+00
2.5290e+06  5.0652e-23  1.1780e+00
2.5348e+06  5.0494e-23  1.1780e+00
2.5405e+06  5.0337e-23  1.1780e+00
2.5463e+06  5.0180e-23  1.1780e+00
2.5521e+06  5.0024e-23  1.1780e+00
2.5579e+06  4.9868e-23  1.1780e+00
2.5637e+06  4.9713e-23  1.1780e+00
2.5695e+06  4.9558e-23  1.1780e+00
2.5754e+06  4.9406e-23  1.1780e+00
2.5812e+06  4.9255e-23  1.1780e+00
2.5871e+06  4.9105e-23  1.1780e+00
2.5930e+06  4.8955e-23  1.1780e+00
2.5989e+06  4.8805e-23  1.1780e+00
2.6048e+06  4.8656e-23  1.1780e+00
2.6107e+06  4.8507e-23  1.1780e+00
2.6166e+06  4.8359e-23  1.1780e+00
2.6226e+06  4.8211e-23  1.1780e+00
2.6285e+06  4.8063e-23  1.1780e+00
2.6345e+06  4.7918e-23  1.1780e+00
2.6405e+06  4.7775e-23  1.1780e+00
2.6465e+06  4.7632e-23  1.1780e+00
2.6525e+06  4.7489e-23  1.1780e+00
2.6585e+06  4.7346e-23  1.1780e+00
2.6646e+06  4.7204e-23  1.1781e+00
2.6706e+06  4.7062e-23  1.1781e+00
2.6767e+06  4.6921e-23  1.1781e+00
2.6828e+06  4.6780e-23  1.1781e+00
2.6889e+06  4.6639e-23  1.1781e+00
2.6950e+06  4.6501e-23  1.1781e+00
2.7011e+06  4.6364e-23  1.1781e+00
2.7073e+06  4.6227e-23  1.1781e+00
2.7134e+06  4.6091e-23  1.1781e+00
2.7196e+06  4.5955e-23  1.1781e+00
2.7258e+06  4.5820e-23  1.1781e+00
2.7320e+06  4.5685e-23  1.1781e+00
2.7382e+06  4.5550e-23  1.1781e+00
2.7444e+06  4.5415e-23  1.1781e+00
2.7506e+06  4.5281e-23  1.1781e+00
2.7569e+06  4.5149e-23  1.1781e+00
2.7631e+06  4.5018e-23  1.1781e+00
2.7694e+06  4.4888e-23  1.1781e+00
2.7757e+06  4.4759e-23  1.1781e+00
2.7820e+06  4.4629e-23  1.1781e+00
2.7883e+06  4.4500e-23  1.1781e+00
2.7947e+06  4.4371e-23  1.1781e+00
2.8010e+06  4.4243e-23  1.1781e+00
2.8074e+06  4.4115e-23  1.1781e+00
2.8138e+06  4.3987e-23  1.1781e+00
2.8201e+06  4.3859e-23  1.1781e+00
2.8266e+06  4.3731e-23  1.1781e+00
2.8330e+06  4.3603e-23  1.1781e+00
2.8394e+06  4.3475e-23  1.1781e+00
2.8459e+06  4.3347e-23  1.1781e+00
2.8523e+06  4.3220e-23  1.1781e+00
2.8588e+06  4.3093e-23  1.1782e+00
2.8653e+06  4.2966e-23  1.1782e+00
2.8718e+06  4.2840e-23  1.1782e+00
2.8783e+06  4.2714e-23  1.1782e+00
2.8849e+06  4.2589e-23  1.1782e+00
2.8914e+06  4.2467e-23  1.1782e+00
2.8980e+06  4.2345e-23  1.1782e+00
2.9046e+06  4.2223e-23  1.1782e+00
2.9112e+06  4.2102e-23  1.1782e+00
2.9178e+06  4.1981e-23  1.1782e+00
2.9244e+06  4.1860e-23  1.1782e+00
2.9310e+06  4.1740e-23  1.1782e+00
2.9377e+06  4.1620e-23  1.1782e+00
2.9444e+06  4.1500e-23  1.1782e+00
2.9510e+06  4.1381e-23  1.1782e+00
2.9577e+06  4.1264e-23  1.1782e+00
2.9645e+06  4.1149e-23  1.1782e+00
2.9712e+06  4.1033e-23  1.1782e+00
2.9779e+06  4.0918e-23  1.1782e+00
2.9847e+06  4.0803e-23  1.1782e+00
2.9915e+06  4.0689e-23  1.1782e+00
2.9983e+06  4.0575e-23  1.1782e+00
3.0051e+06  4.0461e-23  1.1782e+00
3.0119e+06  4.0348e-23  1.1782e+00
3.0187e+06  4.0235e-23  1.1782e+00
3.0256e+06  4.0125e-23  1.1782e+00
3.0325e+06  4.0015e-23  1.1782e+00
3.0393e+06  3.9906e-23  1.1782e+00
3.0462e+06  3.9798e-23  1.1782e+00
3.0532e+06  3.9689e-23  1.1782e+00
3.0601e+06  3.9581e-23  1.1782e+00
3.0670e+06  3.9474e-23  1.1782e+00
3.0740e+06  3.9367e-23  1.1782e+00
3.0810e+06  3.9260e-23  1.1783e+00
3.0880e+06  3.9154e-23  1.1783e+00
3.0950e+06  3.9050e-23  1.1783e+00
3.1020e+06  3.8947e-23  1.1783e+00
3.1090e+06  3.8844e-23  1.1783e+00
3.1161e+06  3.8742e-23  1.1783e+00
3.1232e+06  3.8640e-23  1.1783e+00
3.1303e+06  3.8539e-23  1.1783e+00
3.1374e+06  3.8438e-23  1.1783e+00
3.1445e+06  3.8338e-23  1.1783e+00
3.1516e+06  3.8238e-23  1.1783e+00
3.1588e+06  3.8138e-23  1.1783e+00
3.1659e+06  3.8038e-23  1.1783e+00
3.1731e+06  3.7937e-23  1.1783e+00
3.1803e+06  3.7837e-23  1.1783e+00
3.1875e+06  3.7737e-23  1.1783e+00
3.1948e+06  3.7638e-23  1.1783e+00
3.2020e+06  3.7539e-23  1.1783e+00
3.2093e+06  3.7441e-23  1.1783e+00
3.2166e+06  3.7343e-23  1.1783e+00
3.2239e+06  3.7245e-23  1.1783e+00
3.2312e+06  3.7148e-23  1.1783e+00
3.2385e+06  3.7052e-23  1.1783e+00
3.2459e+06  3.6958e-23  1.1783e+00
3.2532e+06  3.6864e-23  1.1783e+00
3.2606e+06  3.6771e-23  1.1783e+00
3.2680e+06  3.6678e-23  1.1783e+00
3.2754e+06  3.6586e-23  1.1783e+00
3.2829e+06  3.6494e-23  1.1783e+00
3.2903e+06  3.6403e-23  1.1783e+00
3.2978e+06  3.6312e-23  1.1783e+00
3.3053e+06  3.6222e-23  1.1783e+00
3.3128e+06  3.6132e-23  1.1783e+00
3.3203e+06  3.6045e-23  1.1783e+00
3.3278e+06  3.5957e-23  1.1783e+00
3.3354e+06  3.5871e-23  1.1783e+00
3.3429e+06  3.5785e-23  1.1783e+00
3.3505e+06  3.5699e-23  1.1783e+00
3.3581e+06  3.5614e-23  1.1783e+00
3.3657e+06  3.5529e-23  1.1784e+00
3.3734e+06  3.5445e-23  1.1784e+00
3.3810e+06  3.5361e-23  1.1784e+00
3.3887e+06  3.5278e-23  1.1784e+00
3.3964e+06  3.5197e-23  1.1784e+00
3.4041e+06  3.5116e-23  1.1784e+00
3.4118e+06  3.5036e-23  1.1784e+00
3.4195e+06  3.4957e-23  1.1784e+00
3.4273e+06  3.4877e-23  1.1784e+00
3.4351e+06  3.4799e-23  1.1784e+00
3.4428e+06  3.4720e-23  1.1784e+00
3.4507e+06  3.4643e-23  1.1784e+00
3.4585e+06  3.4565e-23  1.1784e+00
3.4663e+06  3.4488e-23  1.1784e+00
3.4742e+06  3.4413e-23  1.1784e+00
3.4821e+06  3.4339e-23  1.1784e+00
3.4900e+06  3.4266e-23  1.1784e+00
3.4979e+06  3.4192e-23  1.1784e+00
3.5058e+06  3.4120e-23  1.1784e+00
3.5138e+06  3.4047e-23  1.1784e+00
3.5217e+06  3.3975e-23  1.1784e+00
3.5297e+06  3.3904e-23  1.1784e+00
3.5377e+06  3.3833e-23  1.1784e+00
3.5457e+06  3.3762e-23  1.1784e+00
3.5538e+06  3.3691e-23  1.1784e+00
3.5618e+06  3.3619e-23  1.1784e+00
3.5699e+06  3.3548e-23  1.1784e+00
3.5780e+06  3.3478e-23  1.1784e+00
3.5861e+06  3.3407e-23  1.1784e+00
3.5943e+06  3.3338e-23  1.1784e+00
3.6024e+06  3.3268e-23  1.1784e+00
3.6106e+06  3.3199e-23  1.1784e+00
3.6188e+06  3.3131e-23  1.1784e+00
3.6270e+06  3.3062e-23  1.1784e+00
3.6352e+06  3.2996e-23  1.1784e+00
3.6434e+06  3.2930e-23  1.1784e+00
3.6517e+06  3.2865e-23  1.1784e+00
3.6600e+06  3.2800e-23  1.1784e+00
3.6683e+06  3.2735e-23  1.1784e+00
3.6766e+06  3.2671e-23  1.1784e+00
3.6849e+06  3.2608e-23  1.1784e+00
3.6933e+06  3.2544e-23  1.1784e+00
3.7016e+06  3.2481e-23  1.1784e+00
3.7100e+06  3.2419e-23  1.1784e+00
3.7184e+06  3.2357e-23  1.1784e+00
3.7269e+06  3.2297e-23  1.1784e+00
3.7353e+06  3.2237e-23  1.1785e+00
3.7438e+06  3.2178e-23  1.1785e+00
3.7523e+06  3.2119e-23  1.1785e+00
3.7608e+06  3.2060e-23  1.1785e+00
3.7693e+06  3.2002e-23  1.1785e+00
3.7778e+06  3.1944e-23  1.1785e+00
3.7864e+06  3.1886e-23  1.1785e+00
3.7950e+06  3.1829e-23  1.1785e+00
3.8036e+06  3.1773e-23  1.1785e+00
3.8122e+06  3.1718e-23  1.1785e+00
3.8209e+06  3.1663e-23  1.1785e+00
3.8295e+06  3.1609e-23  1.1785e+00
3.8382e+06  3.1555e-23  1.1785e+00
3.8469e+06  3.1502e-23  1.1785e+00
3.8556e+06  3.1449e-23  1.1785e+00
3.8643e+06  3.1396e-23  1.1785e+00
3.8731e+06  3.1343e-23  1.1785e+00
3.8819e+06  3.1291e-23  1.1785e+00
3.8907e+06  3.1239e-23  1.1785e+00
3.8995e+06  3.1189e-23  1.1785e+00
3.9083e+06  3.1140e-23  1.1785e+00
3.9172e+06  3.1090e-23  1.1785e+00
3.9261e+06  3.1041e-23  1.1785e+00
3.9350e+06  3.0993e-23  1.1785e+00
3.9439e+06  3.0944e-23  1.1785e+00
3.9528e+06  3.0896e-23  1.1785e+00
3.9618e+06  3.0848e-23  1.1785e+00
3.9708e+06  3.0801e-23  1.1785e+00
3.9798e+06  3.0754e-23  1.1785e+00
3.9888e+06  3.0705e-23  1.1785e+00
3.9978e+06  3.0656e-23  1.1785e+00
4.0069e+06  3.0607e-23  1.1785e+00
4.0159e+06  3.0558e-23  1.1785e+00
4.0250e+06  3.0510e-23  1.1785e+00
4.0342e+06  3.0462e-23  1.1785e+00
4.0433e+06  3.0414e-23  1.1785e+00
4.0525e+06  3.0367e-23  1.1785e+00
4.0616e+06  3.0320e-23  1.1785e+00
4.0708e+06  3.0273e-23  1.1785e+00
4.0801e+06  3.0227e-23  1.1785e+00
4.0893e+06  3.0182e-23  1.1785e+00
4.0986e+06  3.0138e-23  1.1785e+00
4.1079e+06  3.0093e-23  1.1785e+00
4.1172e+06  3.0049e-23  1.1785e+00
4.1265e+06  3.0005e-23  1.1785e+00
4.1358e+06  2.9961e-23  1.1785e+00
4.1452e+06  2.9918e-23  1.1785e+00
4.1546e+06  2.9875e-23  1.1785e+00
4.1640e+06  2.9832e-23  1.1785e+00
4.1734e+06  2.9790e-23  1.1785e+00
4.1829e+06  2.9748e-23  1.1785e+00
4.1924e+06  2.9708e-23  1.1785e+00
4.2019e+06  2.9667e-23  1.1786e+00
4.2114e+06  2.9626e-23  1.1786e+00
4.2209e+06  2.9586e-23  1.1786e+00
4.2305e+06  2.9546e-23  1.1786e+00
4.2401e+06  2.9506e-23  1.1786e+00
4.2497e+06  2.9467e-23  1.1786e+00
4.2593e+06  2.9428e-23  1.1786e+00
